gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,22.2413,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_bnt0_fp4,1.0%,14.6282,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x256_reduce_nt_sbm32,1.1%,36.8695,0,0,0,21.5,688025.93
gfx950,256,2,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,44.5163,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_bnt0_kw2_fp4,0.9%,23.6706,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x128_reduce_sbm32,1.1%,68.1869,0,0,0,23.25,372024.44
gfx950,256,4,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,68.8084,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,1.0%,38.7552,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_sbm32,1.2%,107.5636,0,0,0,29.48,235834.77
gfx950,256,8,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,115.2688,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw4_fp4,1.0%,62.6665,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,177.9353,0,0,0,35.64,142564.87
gfx950,256,16,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,173.4015,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w4_fp4,1.0%,93.7105,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,267.112,0,0,0,47.48,94969.51
gfx950,256,32,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,258.4118,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4_fp4,1.0%,137.8001,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,1.2%,396.2119,0,0,0,64.02,64025.94
gfx950,256,64,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,375.5506,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,1.0%,199.0477,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,574.5983,0,0,0,88.3,44150.02
gfx950,256,128,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,532.9302,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_fp4,1.0%,276.3193,flydsl_moe2_layout_afp4_wfp4_bf16_t32x128x256_atomic_persist_nt_sbm32,1.2%,809.2495,0,0,0,125.39,31349.92
gfx950,256,256,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,718.454,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,1.0%,377.7485,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_persist_nt_sbm64,1.2%,1096.2025,0,0,0,185.13,23145.96
gfx950,256,512,7168,3072,384,6,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,887.2505,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_fp4,1.0%,493.9178,flydsl_moe2_layout_afp4_wfp4_bf16_t64x256x256_atomic_nt_sbm64,1.2%,1381.1683,0,0,0,293.86,18374.42
